aggregated_at,zone,metric,reading_count,avg_value,min_value,max_value,stddev_value,alert_count,alert_rate_pct,avg_total_latency_ms,max_total_latency_ms
2026-07-20T18:40:56.415409+00:00,greenhouse-A,rssi_dbm,3,-71.3,-82.9,-61.1,10.967,3,100.0,0.662,0.784
2026-07-20T18:40:56.415409+00:00,greenhouse-A,temperature_c,13,21.168,19.83,22.4,0.805,13,100.0,0.418,0.682
2026-07-20T18:40:56.415409+00:00,greenhouse-B,rssi_dbm,4,-70.775,-84.7,-64.4,9.399,4,100.0,0.502,0.911
2026-07-20T18:40:56.415409+00:00,greenhouse-B,temperature_c,18,21.421,19.99,22.34,0.677,18,100.0,0.656,1.165
